Exercise,Muscle_Involved,Pain_Level,Functional_Goal
Shoulder Blade Squeezes,Deltoids,Low,Alleviate Pain
Arm Circles,Deltoids,Low,Alleviate Pain
Front Arm Raises (No Weight),Deltoids,Low,Alleviate Pain
Lateral Arm Raises (No Weight),Deltoids,Low,Alleviate Pain
Wall Slides,Deltoids,Moderate,Alleviate Pain
External Rotation with Resistance Band (Light),Deltoids,Moderate,Alleviate Pain
Dumbbell Front Raise (Light Weight),Deltoids,Moderate,Alleviate Pain
Dumbbell Lateral Raise (Light Weight),Deltoids,Moderate,Alleviate Pain
None,Deltoids,Severe,Alleviate Pain
Isometric Biceps Hold,Biceps,Low,Alleviate Pain
Forearm Supination/Pronation,Biceps,Low,Alleviate Pain
Bicep Curls (No Weight or Light Weight),Biceps,Low,Alleviate Pain
Hammer Curls (No Weight or Light Weight),Biceps,Low,Alleviate Pain
Resistance Band Curls,Biceps,Moderate,Alleviate Pain
Slow Supination Curls,Biceps,Moderate,Alleviate Pain
Dumbbell Curls (Light Weight),Biceps,Moderate,Alleviate Pain
Concentration Curl (Light Weight),Biceps,Moderate,Alleviate Pain
None,Biceps,Severe,Alleviate Pain
Wall Chest Stretch,Chest,Low,Alleviate Pain
Seated Arm Circles,Chest,Low,Alleviate Pain
Open-Book Stretch,Chest,Low,Alleviate Pain
Incline Chest Squeeze (No Weight),Chest,Low,Alleviate Pain
Wall Push-ups,Chest,Low,Alleviate Pain
Chest Fly (No Weight),Chest,Low,Alleviate Pain
Doorway Chest Stretch,Chest,Moderate,Alleviate Pain
Cat-Cow Chest Expansion,Chest,Moderate,Alleviate Pain
Bent Arm Wall Stretch,Chest,Moderate,Alleviate Pain
Modified Wall Push-Up,Chest,Moderate,Alleviate Pain
Resistance Band Chest Squeeze (Low Resistance),Chest,Moderate,Alleviate Pain
Floor Chest Press (No Weight),Chest,Moderate,Alleviate Pain
None,Chest,Severe,Alleviate Pain
Neck Tilt Stretch,Neck,Low,Alleviate Pain
Side-to-Side Neck Rotation,Neck,Low,Alleviate Pain
Shoulder Rolls,Neck,Low,Alleviate Pain
Chin Tucks (No Weight),Neck,Low,Alleviate Pain
Scapular Squeeze,Neck,Low,Alleviate Pain
Shoulder Shrugs (No Weight),Neck,Low,Alleviate Pain
Levator Scapula Stretch,Neck,Moderate,Alleviate Pain
Cat-Cow with Neck Movement,Neck,Moderate,Alleviate Pain
Neck Retraction,Neck,Moderate,Alleviate Pain
Isometric Neck Holds,Neck,Moderate,Alleviate Pain
Wall Angels,Neck,Moderate,Alleviate Pain
Resistance Band Rows (Low Resistance),Neck,Moderate,Alleviate Pain
None,Neck,Severe,Alleviate Pain
Overhead Arm Stretch,Triceps,Low,Alleviate Pain
Arm Circles,Triceps,Low,Alleviate Pain
Cross-Body Arm Stretch,Triceps,Low,Alleviate Pain
Wall Push-Ups,Triceps,Low,Alleviate Pain
Isometric Triceps Hold,Triceps,Low,Alleviate Pain
Triceps Squeeze (No Weight),Triceps,Low,Alleviate Pain
Overhead Triceps Stretch with Resistance Band (Low Resistance),Triceps,Moderate,Alleviate Pain
Triceps Extension Stretch,Triceps,Moderate,Alleviate Pain
Seated Arm Extension,Triceps,Moderate,Alleviate Pain
Modified Wall Push-Up,Triceps,Moderate,Alleviate Pain
Resistance Band Triceps Extensions (Low Resistance),Triceps,Moderate,Alleviate Pain
Chair Dips (No Weight),Triceps,Moderate,Alleviate Pain
None,Triceps,Severe,Alleviate Pain
Quadriceps Activation,Quadriceps,Low,Alleviate Pain
Leg Raises,Quadriceps,Low,Alleviate Pain
Bodyweight Squats,Quadriceps,Low,Alleviate Pain
Step-Ups,Quadriceps,Low,Alleviate Pain
Wall Sits,Quadriceps,Moderate,Alleviate Pain
Knee Extensions with Resistance Band,Quadriceps,Moderate,Alleviate Pain
Lunges (Bodyweight or Light Weight),Quadriceps,Moderate,Alleviate Pain
Split Squats,Quadriceps,Moderate,Alleviate Pain
None,Quadriceps,Severe,Alleviate Pain
Heel Slides,Hamstrings,Low,Alleviate Pain
Leg Curls (No Weight),Hamstrings,Low,Alleviate Pain
Glute Bridge,Hamstrings,Low,Alleviate Pain
Bodyweight Deadlifts,Hamstrings,Low,Alleviate Pain
Resistance Band Leg Curls,Hamstrings,Moderate,Alleviate Pain
Seated Hamstring Curls,Hamstrings,Moderate,Alleviate Pain
Single-Leg Deadlift,Hamstrings,Moderate,Alleviate Pain
Step-Downs,Hamstrings,Moderate,Alleviate Pain
None,Hamstrings,Severe,Alleviate Pain
Seated Calf Stretch with Towel,Calf,Low,Alleviate Pain
Heel Drops (on flat),Calf,Low,Alleviate Pain
Calf Raises (Bodyweight),Calf,Low,Alleviate Pain
Toe Taps,Calf,Low,Alleviate Pain
Eccentric Calf Raise,Calf,Moderate,Alleviate Pain
Heel Slides (Calf Focus),Calf,Moderate,Alleviate Pain
Single-Leg Calf Raise,Calf,Moderate,Alleviate Pain
Step-Up Toe Raises,Calf,Moderate,Alleviate Pain
None,Calf,Severe,Alleviate Pain
Ankle Circles,Ankle,Low,Alleviate Pain
Toe Point and Flex,Ankle,Low,Alleviate Pain
Heel-to-Toe Rocks,Ankle,Low,Alleviate Pain
Calf Raises (No Weight),Ankle,Low,Alleviate Pain
Towel Scrunches,Ankle,Low,Alleviate Pain
Seated Ankle Press,Ankle,Low,Alleviate Pain
