exercise_id,exercise_name,muscle_group,exercise_type,description,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,recommended_duration,difficulty_level,benefit_1,benefit_2,benefit_3,precaution_1,precaution_2,precaution_3,image_path,video_path,requires_equipment,equipment_needed,min_pain_level,max_pain_level,severe_pain_contraindicated
STRETCH_001,Seated Spinal Twist,Abdominals,warmup,Gentle spinal rotation to warm up the core muscles and improve mobility,Start in a seated position with legs extended straight in front of you,Place right hand behind you for support and balance,Bend left knee and place left foot outside right knee,Place left hand on right knee for gentle support and guidance,Slowly rotate torso to the right while keeping spine tall,Keep shoulders relaxed and avoid forcing the rotation,Hold position for 15-20 seconds while breathing deeply,Breathe deeply throughout the movement and focus on spinal alignment,30,beginner,Improves spinal mobility and rotation,Activates core stabilizing muscles,Reduces lower back tension and stiffness,Avoid if you have severe back pain or recent spinal surgery,Stop if you feel sharp pain or discomfort,Modify range of motion based on your flexibility level,assets/images/stretches/seated_spinal_twist.png,,false,,4,10,true
STRETCH_002,Cat-Cow Stretch,Abdominals,warmup,Dynamic spinal movement to warm up the entire spine and improve flexibility,Start on hands and knees in tabletop position on a comfortable surface,Place hands directly under shoulders with fingers spread wide,Keep knees under hips and maintain neutral spine position,Inhale deeply and arch your back while lifting chest and tailbone (cow pose),Exhale slowly and round your spine while tucking chin to chest (cat pose),Move slowly and smoothly between poses without rushing,Repeat for 8-10 cycles focusing on spinal articulation,Breathe with each movement and feel the spine moving segment by segment,60,beginner,Improves spinal flexibility and mobility,Activates core muscles and stabilizers,Reduces spinal stiffness and tension,Modify if you have wrist issues by using forearms instead,Use padding under knees if needed for comfort,Stop if you feel pain in wrists or spine,assets/images/stretches/cat_cow.png,,false,,4,10,true
STRETCH_003,Child's Pose,Abdominals,cooldown,Restorative stretch for lower back and spine to promote relaxation and recovery,Start on hands and knees with knees hip-width apart,Sit back on your heels and lower your hips down,Extend arms forward on the floor with palms facing down,Lower chest toward floor while keeping arms extended,Rest forehead gently on floor or on stacked hands,Relax completely and breathe deeply into your back,Hold for 60-90 seconds allowing muscles to release tension,Focus on deep breathing and letting go of any remaining tension,90,beginner,Relaxes lower back and spine muscles,Reduces spinal tension and compression,Promotes deep relaxation and stress relief,Modify if you have knee issues by using cushion under knees,Use cushion under ankles if needed for comfort,Stop if you feel pain in knees or if position is uncomfortable,assets/images/stretches/childs_pose.png,,false,,3,10,true
STRETCH_004,Plank Hold,Abdominals,warmup,Isometric core strengthening exercise to prepare abdominal muscles for activity,Start in push-up position with hands directly under shoulders,Keep body in straight line from head to heels,Engage core muscles and maintain neutral spine position,Keep shoulders down and away from ears,Breathe steadily and maintain the position,Hold for 15-30 seconds depending on your strength level,Focus on keeping hips level and avoiding sagging,Gradually increase hold time as you get stronger,30,intermediate,Strengthens entire core muscle group,Improves postural stability and alignment,Prepares abdominal muscles for dynamic movement,Modify by dropping to knees if full plank is too difficult,Stop if you feel pain in lower back or shoulders,Use proper form over duration to prevent injury,assets/images/stretches/plank_hold.png,,false,,6,10,true
STRETCH_005,Side Bend Stretch,Obliques,warmup,Gentle side stretch to warm up oblique muscles and improve lateral flexibility,Stand with feet hip-width apart and knees slightly bent,Place right hand on hip for support and stability,Reach left arm overhead and lean gently to the right,Feel stretch along left side of torso and oblique muscles,Keep hips facing forward and avoid twisting,Hold for 15-20 seconds while breathing deeply,Switch sides and repeat with right arm overhead,Breathe deeply throughout and avoid bouncing or forcing the stretch,30,beginner,Improves lateral spine flexibility,Activates oblique muscles and lateral stabilizers,Reduces side tension and improves range of motion,Avoid if you have severe back pain or recent injury,Stop if you feel sharp pain or discomfort,Modify range of motion based on your current flexibility,assets/images/stretches/side_bend.png,,false,,4,10,true
STRETCH_006,Seated Side Stretch,Obliques,cooldown,Gentle seated side stretch for oblique recovery and relaxation,Sit on floor with legs crossed in comfortable position,Place right hand on floor beside you for support,Reach left arm overhead and lean gently to the right,Feel stretch along left side of torso and oblique muscles,Keep spine tall and avoid collapsing to the side,Hold for 30-45 seconds while breathing deeply,Switch sides and repeat with right arm overhead,Relax and breathe deeply allowing muscles to release tension,60,beginner,Relaxes oblique muscles after exercise,Reduces side tension and muscle soreness,Promotes recovery and flexibility improvement,Modify if you have hip issues by sitting on cushion,Use cushion for comfort if sitting cross-legged is difficult,Stop if you feel discomfort in hips or back,assets/images/stretches/seated_side_stretch.png,,false,,3,10,true
STRETCH_007,Oblique Crunches,Obliques,warmup,Dynamic oblique activation exercise to prepare lateral core muscles,Lie on your back with knees bent and feet flat on floor,Place hands behind head with elbows wide and fingers interlaced,Lift shoulders off ground and rotate torso to bring right elbow toward left knee,Focus on using oblique muscles rather than pulling with arms,Lower back down slowly and repeat on opposite side,Perform 10-15 repetitions on each side with controlled movement,Breathe out as you crunch and breathe in as you lower,Keep lower back pressed to floor throughout the movement,45,intermediate,Activates oblique muscles for dynamic movement,Improves rotational core strength and stability,Prepares lateral core for functional activities,Stop if you feel neck strain and support head with hands,Keep movements controlled and avoid jerky motions,Consult healthcare provider if you have back issues,assets/images/stretches/oblique_crunches.png,,false,,6,10,true
STRETCH_008,Knee to Chest Stretch,Lower Back,warmup,Gentle lower back warm-up stretch to improve hip flexibility and reduce tension,Lie on your back with legs extended and arms by your sides,Bring right knee toward chest and grasp behind thigh with both hands,Gently pull knee closer to chest while keeping left leg extended,Keep lower back pressed to floor and avoid arching,Hold for 20-30 seconds while breathing deeply,Switch legs and repeat with left knee to chest,Breathe deeply throughout and focus on hip and lower back release,45,beginner,Improves hip flexibility and range of motion,Activates lower back muscles and hip flexors,Reduces back tension and prepares for movement,Avoid if for severe back pain or recent spinal surgery,Stop if you feel sharp pain in back or hips,Modify if you have hip issues by using a strap around thigh,assets/images/stretches/knee_to_chest.png,,false,,3,10,true
STRETCH_009,Pelvic Tilt,Lower Back,cooldown,Gentle pelvic movement for lower back recovery and spinal alignment improvement,Lie on your back with knees bent and feet flat on floor hip-width apart,Place arms by your sides with palms facing down,Flatten lower back against floor by gently tilting pelvis upward,Focus on the movement coming from your pelvis not your spine,Hold for 5-10 seconds while breathing normally,Release and repeat the gentle tilting movement,Focus on smooth controlled movement and pelvic awareness,Breathe deeply throughout and avoid forcing the movement,60,beginner,Relaxes lower back muscles and improves alignment,Improves pelvic mobility and spinal flexibility,Promotes recovery and reduces lower back tension,Stop if you feel pain in lower back or pelvis,Modify range of movement based on your comfort level,Consult healthcare provider if you have chronic back issues,assets/images/stretches/pelvic_tilt.png,,false,,3,10,true
STRETCH_010,Lower Back Extension,Lower Back,warmup,Gentle back extension to warm up spinal muscles and improve posture,Lie face down on floor with legs extended and arms by your sides,Place palms flat on floor beside your chest,Slowly press up with your hands lifting chest off floor,Keep hips and legs on floor and avoid overextending,Hold for 10-15 seconds while breathing normally,Lower back down slowly and repeat 5-8 times,Focus on gentle extension and avoid forcing the movement,Breathe steadily throughout and listen to your body,45,beginner,Improves spinal extension and flexibility,Activates back extensor muscles and prepares spine,Reduces lower back stiffness and improves posture,Avoid if you have severe back pain or recent spinal injury,Stop if you feel sharp pain or discomfort,Modify by reducing range of motion if needed,assets/images/stretches/lower_back_extension.png,,false,,4,10,true
